ID,Original Title,Inferred Title_ru
4798,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E05.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4799,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E06.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4800,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E07.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4801,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E08.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4802,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E09.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4803,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E10.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4804,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E11.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4805,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E12.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4806,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E14.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4807,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E15.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4808,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E18.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4809,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E19.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4810,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E20.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4811,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E21.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4812,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E22.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4813,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E24.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
